id,food_name,calories,protein_g,fat_g,carbs_g,disease_tags
1,Yogurt Variant 17,39,25.59,8.11,48.05,"Diabetes-Friendly, Low-Salt"
2,Almonds Variant 7,459,27.36,27.63,34.27,"Weight-Loss, Low-Carb, Balanced"
3,Potato Variant 24,243,21.9,9.24,75.09,"Balanced, Low-Salt, High-Protein"
4,Salmon Variant 29,36,1.71,25.48,51.56,"Weight-Loss, Diabetes-Friendly, Kidney-Friendly"
5,Banana Variant 8,497,13.97,17.63,12.23,"Kidney-Friendly, Diabetes-Friendly, Heart-Healthy"
6,Carrot Variant 49,477,23.87,12.03,12.62,"Diabetes-Friendly, Low-Salt, Balanced"
7,Yogurt Variant 26,483,9.39,12.69,32.79,Diabetes-Friendly
8,Salmon Variant 44,50,5.47,6.13,49.99,"Weight-Loss, Low-Carb, Heart-Healthy"
9,Potato Variant 35,459,17.04,26.93,71.33,"Balanced, Liver-Friendly"
10,Salmon Variant 8,173,16.31,8.55,32.13,High-Protein
11,Cheese Variant 36,558,15.35,3.96,25.24,"Low-Salt, Heart-Healthy, Balanced"
12,Chicken Breast Variant 20,552,33.15,6.58,62.82,"Heart-Healthy, Weight-Loss"
13,Rice Variant 40,379,8.45,5.05,50.76,"Balanced, Liver-Friendly"
14,Spinach Variant 10,308,32.55,10.81,72.32,"Low-Carb, Liver-Friendly"
15,Beef Variant 36,46,33.31,0.28,54.46,Liver-Friendly
16,Yogurt Variant 47,431,36.16,0.21,51.33,Diabetes-Friendly
17,Pasta Variant 3,297,3.09,17.73,61.86,"Liver-Friendly, Heart-Healthy, Low-Salt"
18,Banana Variant 47,255,8.75,18.94,38.15,Low-Carb
19,Oats Variant 47,375,34.5,22.33,73.83,"Liver-Friendly, Low-Carb"
20,Potato Variant 35,450,29.89,23.87,32.81,Liver-Friendly
21,Yogurt Variant 38,584,29.75,11.41,41.63,"Heart-Healthy, Kidney-Friendly"
22,Orange Variant 6,175,31,3.65,26.56,"Low-Salt, Heart-Healthy, Balanced"
